family,q,hold,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,long_n,short_n,pass_rel,pass_std
F21_rs_follow,0.98,12,60,-60.762797148550185,0.7588535569585659,-0.7276718609035787,0.1652892561983471,1,-70.76279714855018,-59.900906947236756,36,24,False,False
F22_rs_fade,0.8,12,403,-37.30810462518269,0.7888994398811704,-1.7088638394202158,1.1101928374655647,1,-47.30810462518269,-33.69759451859848,200,203,False,False
F22_rs_fade,0.9,12,218,-28.002590454330143,0.8374147687416873,-0.9279151481207095,0.6005509641873278,2,-38.00259045433015,-24.784856708713125,106,112,False,False
F22_rs_fade,0.95,12,120,-31.24965125927871,0.8446268319391779,-0.6358677408530636,0.3305785123966942,2,-41.24965125927871,-29.22529623875088,55,65,False,False
F22_rs_fade,0.98,12,60,20.762797148550153,1.0986330826789545,0.2474702631591118,0.1652892561983471,5,10.76279714855016,19.90090694723672,24,36,False,False
F23_atr_break,0.8,12,385,5.0836788284637695,1.0321075652175216,0.22207569634447122,1.0606060606060606,4,-4.9163211715362305,3.4904683330477657,207,178,False,False
F23_atr_break,0.9,12,227,-6.062212109454819,0.9661735298494596,-0.18413750748054214,0.6253443526170799,3,-16.062212109454816,-7.7791086526247195,127,100,False,False
F23_atr_break,0.95,12,129,19.900350612844008,1.1175079241110604,0.5487910362292933,0.35537190082644626,2,9.900350612843999,17.562308938048947,78,51,False,False
F23_atr_break,0.98,12,60,-28.9594706872139,0.8353635710485761,-0.5116938093016316,0.1652892561983471,3,-38.959470687213894,-44.240973043812836,34,26,False,False
F24_trend_pullback,0.8,12,225,-21.846283464909863,0.8580700992223842,-0.8463046266990744,0.6198347107438017,2,-31.846283464909863,-26.72275334962983,125,100,False,False
F24_trend_pullback,0.9,12,140,-20.80110204993809,0.8657965275681199,-0.5805213571367076,0.3856749311294766,2,-30.801102049938095,-30.26505113897248,76,64,False,False
F24_trend_pullback,0.95,12,84,-21.155977738693128,0.8701538892992738,-0.42566722053420136,0.23140495867768596,1,-31.155977738693128,-38.26509253256955,46,38,False,False
F24_trend_pullback,0.98,12,39,-39.34822973212968,0.7867304411919459,-0.483078730216383,0.10743801652892562,1,-49.34822973212967,-55.092190598492785,18,21,False,False
F25_basis_fade,0.8,8,688,-28.46842654800559,0.781601446254537,-2.2906317177342457,1.8953168044077136,0,-38.46842654800559,-27.685729820382697,376,312,False,False
F25_basis_fade,0.9,8,469,-16.657845578007244,0.8739323386327699,-1.102876846124748,1.2920110192837466,2,-26.657845578007244,-17.632525450096285,247,222,False,False
F25_basis_fade,0.95,8,292,7.0695084581419305,1.054060472932405,0.2997945538720774,0.8044077134986226,2,-2.9304915418580717,8.38975827652478,161,131,False,False
F25_basis_fade,0.98,8,140,33.01064807551339,1.2370743762044276,0.7625074973177763,0.3856749311294766,4,23.010648075513384,36.92950984856853,72,68,False,False
F26_count_follow,0.8,12,530,3.3956003743889003,1.022605287495967,0.17571041274461915,1.4600550964187329,3,-6.604399625611098,7.1381172101433945,257,273,False,False
F26_count_follow,0.9,12,430,22.81507799800391,1.1621528201432083,1.092520334047566,1.184573002754821,3,12.815077998003906,19.08505835548374,234,196,False,False
F26_count_follow,0.95,12,308,8.846329195848572,1.0546679432688149,0.3225963222505557,0.8484848484848485,4,-1.1536708041514254,4.4404154204886455,158,150,False,False
F26_count_follow,0.98,12,177,8.157959441333514,1.046342412198656,0.2227880803885494,0.48760330578512395,3,-1.8420405586664883,4.535511157726014,91,86,False,False
F27_toptrader_follow,0.8,12,436,-9.788318597986956,0.9371852623365776,-0.4909033956951963,1.2011019283746556,3,-19.788318597986958,-9.350274067229378,227,209,False,False
F27_toptrader_follow,0.9,12,265,-28.27942110437123,0.8382984219921715,-0.9811827854399463,0.7300275482093664,3,-38.279421104371224,-27.066125021524442,134,131,False,False
F27_toptrader_follow,0.95,12,149,-33.93652492335113,0.8163590731679744,-0.7570125489844611,0.41046831955922863,3,-43.93652492335113,-33.20213155123232,74,75,False,False
F27_toptrader_follow,0.98,12,77,53.93353795614101,1.352597190938237,0.8334248960892523,0.21212121212121213,4,43.933537956140995,51.24427044587488,36,41,False,False
F28_crowd_fade,0.8,12,345,13.140217803758677,1.0897671525833874,0.5589630290936587,0.9504132231404959,4,3.1402178037586794,6.968906755606347,131,214,False,False
F28_crowd_fade,0.9,12,218,22.761451244027285,1.1592803827105946,0.8534283521870318,0.6005509641873278,5,12.761451244027283,24.208552467106628,82,136,False,False
F28_crowd_fade,0.95,12,142,12.57480127332672,1.0866541377775787,0.38214630609134426,0.39118457300275483,3,2.574801273326727,14.371845384873073,61,81,False,False
F28_crowd_fade,0.98,12,75,-2.499896091901312,0.9828526609953369,-0.05207308601570459,0.2066115702479339,5,-12.499896091901315,4.455125792878624,32,43,False,False
