tf,family,q,hold_bars,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,pass_rel,pass_std
30m,F11_taker_follow|bars,0.958333,12,686,-19.41188916744182,0.816027005004593,-1.9379882652233247,1.8898071625344353,1,-29.411889167441817,-20.390541731095695,False,False
30m,F11_taker_follow|bars,0.916667,12,918,-9.780579565908264,0.9025538121569472,-1.154362456741298,2.5289256198347108,3,-19.780579565908262,-12.556121027975632,False,False
30m,F11_taker_follow|clock,0.989583,24,225,-1.2234154336044565,0.9914001603946031,-0.042901992151075,0.6198347107438017,3,-11.223415433604456,-8.184857391662854,False,False
30m,F11_taker_follow|clock,0.979167,24,340,9.491815088469632,1.0697692657397346,0.4349709400127489,0.9366391184573003,3,-0.5081849115303738,3.968693022846067,False,False
30m,F11_taker_follow|clock,0.958333,24,455,-21.935423455574373,0.8621572340114307,-1.141290731138281,1.2534435261707988,2,-31.93542345557437,-24.89061184912215,False,False
30m,F11_taker_follow|clock,0.916667,24,550,-15.758905667775322,0.8953442756441244,-0.9341818198908888,1.5151515151515151,2,-25.75890566777532,-19.156914220891803,False,False
30m,F12_taker_fade|bars,0.989583,12,282,-38.25447053555447,0.6615723169392006,-2.431445639466218,0.7768595041322314,2,-48.254470535554475,-36.17610191936582,False,False
30m,F12_taker_fade|bars,0.979167,12,463,-15.241167599427365,0.8467439756272146,-1.273653160626551,1.2754820936639117,3,-25.241167599427367,-14.177384993843111,False,False
30m,F12_taker_fade|bars,0.958333,12,686,-20.588110832558186,0.8052361520521369,-2.0647165191006405,1.8898071625344353,1,-30.58811083255819,-19.609458268904312,False,False
30m,F12_taker_fade|bars,0.916667,12,918,-30.219420434091745,0.7265141186538291,-3.5775134845579397,2.5289256198347108,2,-40.219420434091745,-27.44387897202437,False,False
30m,F12_taker_fade|clock,0.989583,24,225,-38.77658456639555,0.7596630223065944,-1.3596929836429015,0.6198347107438017,2,-48.77658456639556,-31.815142608337155,False,False
30m,F12_taker_fade|clock,0.979167,24,340,-49.49181508846964,0.7032716554432769,-2.2758737240626012,0.9366391184573003,1,-59.49181508846965,-43.968693022846075,False,False
30m,F12_taker_fade|clock,0.958333,24,455,-18.064576544425634,0.8849799830312166,-0.9420598172825129,1.2534435261707988,3,-28.064576544425627,-15.109388150877864,False,False
