tf,family,q,hold_bars,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,pass_rel,pass_std
1m,F10_vol_fade|bars,0.997222,12,2550,-18.42811309166693,0.4222034379738245,-13.625515234171601,7.024793388429752,0,-28.428113091666926,-18.382081254540036,False,False
1m,F10_vol_fade|clock,0.999653,720,233,-12.356853565761963,0.9151177073558415,-0.4501175674540878,0.6418732782369146,2,-22.356853565761963,-12.303061441675052,False,False
1m,F10_vol_fade|clock,0.999306,720,347,17.617652531857328,1.1357967659785748,0.8087101145914974,0.9559228650137741,4,7.617652531857334,19.04076309849654,False,False
1m,F10_vol_fade|clock,0.998611,720,450,7.628416812801864,1.0539435847884724,0.39110034867584414,1.2396694214876034,5,-2.3715831871981354,8.27905280342924,False,False
1m,F10_vol_fade|clock,0.997222,720,549,4.350487750878833,1.0311286173655378,0.2671908862848869,1.512396694214876,3,-5.649512249121168,9.324606027076973,False,False
1m,F11_taker_follow|bars,0.999653,12,7955,-20.373166528484056,0.20754806736135187,-20.31223914014406,21.914600550964188,0,-30.373166528484056,-20.38509177413925,False,False
1m,F11_taker_follow|bars,0.999306,12,8098,-20.45175644577577,0.20645537462056396,-20.937577601711606,22.308539944903583,0,-30.45175644577577,-20.46302820906234,False,False
1m,F11_taker_follow|bars,0.998611,12,8315,-20.357492479911116,0.20857728792251226,-21.4677412161551,22.90633608815427,0,-30.357492479911112,-20.366727514742248,False,False
1m,F11_taker_follow|bars,0.997222,12,8763,-20.085007657183336,0.21555167605134185,-22.497730507405294,24.140495867768596,0,-30.08500765718333,-20.09126244112749,False,False
1m,F11_taker_follow|clock,0.999653,720,501,-13.741285430305334,0.893727231432343,-0.9269052231897581,1.3801652892561984,2,-23.741285430305332,-15.611781424079709,False,False
