fw,id,name,tr_n,tr_pf,tr_mean,tr_t,va_n,va_pf,va_mean,va_t,tr_pd,va_pd,std,rel,tr_only_rel
r6_orthogonal_alphas,1499,TTSmart_Pure_var1499,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1500,TTSmart_Pure_var1500,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1501,Flushout10_H8_SL5,5,33.26,390.6,1.62,8,5.32,312.6,1.69,0.018315018315018316,0.08888888888888889,False,False,False
r6_orthogonal_alphas,1502,Flushout10_H8_SL7,5,40.73,481.2,1.6,8,6.22,334.6,1.74,0.018315018315018316,0.08888888888888889,False,False,False
r6_orthogonal_alphas,1503,Flushout10_H8_SL9,5,38.21,450.6,1.61,8,6.22,334.6,1.74,0.018315018315018316,0.08888888888888889,False,False,False
r6_orthogonal_alphas,1504,Flushout10_H12_SL5,5,177.93,441.5,1.99,8,5.38,347.6,1.85,0.018315018315018316,0.08888888888888889,False,False,False
r6_orthogonal_alphas,1505,Flushout10_H12_SL7,5,242.04,601.5,1.88,8,4.52,367.6,1.59,0.018315018315018316,0.08888888888888889,False,False,False
r6_orthogonal_alphas,1506,Flushout10_H12_SL9,5,259.65,645.5,1.8,8,5.56,428.1,1.66,0.018315018315018316,0.08888888888888889,False,False,False
r6_orthogonal_alphas,1507,Flushout10_H18_SL5,5,999.0,612.1,3.31,8,5.57,350.1,1.71,0.018315018315018316,0.08888888888888889,False,False,False
r6_orthogonal_alphas,1508,Flushout10_H18_SL7,5,999.0,772.1,2.85,8,5.22,428.1,1.59,0.018315018315018316,0.08888888888888889,False,False,False
r6_orthogonal_alphas,1509,Flushout10_H18_SL9,5,999.0,816.0,2.64,8,5.11,427.3,1.52,0.018315018315018316,0.08888888888888889,False,False,False
r6_orthogonal_alphas,1510,Flushout15_H8_SL5,3,18.59,326.0,0.99,0,0.0,0.0,0.0,0.01098901098901099,0.0,False,False,False
r6_orthogonal_alphas,1511,Flushout15_H8_SL7,3,19.54,343.6,0.99,0,0.0,0.0,0.0,0.01098901098901099,0.0,False,False,False
