pair,issues,first,last,rows,gaps,max_gap,funding_first,funding_unmatched_by_mark,mark_missing_hours
BABY_USDT_USDT,,2025-04-05 13:30:00+00:00,2026-08-31 23:55:00+00:00,147870,0,0 days 00:05:00,2025-04-05 16:00:00+00:00,0,0
BAKE_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
BANANAS31_USDT_USDT,WARN 1/3170 funding rows have no mark row (dropped by freqtrade),2025-03-22 09:15:00+00:00,2026-08-31 23:55:00+00:00,151953,0,0 days 00:05:00,2025-03-20 16:00:00+00:00,1,0
BANANA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
BAN_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
BARD_USDT_USDT,WARN 1/2736 funding rows have no mark row (dropped by freqtrade),2025-09-18 11:00:00+00:00,2026-08-31 23:55:00+00:00,100092,0,0 days 00:05:00,2025-09-18 08:00:00+00:00,1,0
BB_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
BCH_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
BEAMX_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
BEAT_USDT_USDT,,2025-11-12 12:15:00+00:00,2026-08-31 23:55:00+00:00,84237,0,0 days 00:05:00,2025-11-12 12:00:00+00:00,0,0
BEL_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
BERA_USDT_USDT,,2025-02-06 15:00:00+00:00,2026-08-31 23:55:00+00:00,164556,0,0 days 00:05:00,2025-02-06 16:00:00+00:00,0,0
BIGTIME_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
BIO_USDT_USDT,,2025-01-03 12:15:00+00:00,2026-08-31 23:55:00+00:00,174381,0,0 days 00:05:00,2025-01-03 16:00:00+00:00,0,0
BLUR_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
