round,name,n_tr,mean_bp_tr,med_bp_tr,win_tr,pf_tr,day_t_tr,per_day_tr,status_tr,n_va,mean_bp_va,med_bp_va,win_va,pf_va,day_t_va,per_day_va,status_va
138,Multi-Settlement FR Short (Filtered),36,305.13,75.54,0.611,3.597,1.78,0.13,PROFITABLE,20,302.86,61.18,0.6,2.683,0.93,0.22,PROFITABLE
139,FR 14d Z-Score Mean Reversion,2295,-60.9,0.55,0.501,0.794,-0.97,8.41,REJECT,748,13.89,-22.45,0.483,1.075,0.26,8.31,PROFITABLE
140,High-FR Alt Short in Macro Bear,124,-20.81,-39.3,0.452,0.939,-0.17,0.45,REJECT,44,203.47,102.26,0.682,2.162,1.22,0.49,PROFITABLE
141,FR Zero-Cross Momentum Burst,2973,-31.89,-59.54,0.442,0.877,-0.7,10.89,REJECT,1098,-80.57,-115.27,0.385,0.66,-1.51,12.2,REJECT
142,FR Extreme Spike Decay Fade,16,466.82,-44.45,0.438,2.972,1.19,0.06,PROFITABLE,5,-20.16,102.32,0.6,0.945,-0.05,0.06,REJECT
143,FR-Discount Trend Following,16835,-1.58,-30.38,0.476,0.994,-0.05,61.67,REJECT,5189,-11.89,-15.36,0.483,0.939,-0.32,57.66,REJECT
144,FR Volatility-Normalized Stretch,2718,-7.45,-50.92,0.433,0.966,-0.31,9.96,REJECT,1589,-63.0,-79.05,0.405,0.712,-2.01,17.66,REJECT
145,FR Capitulation Rebound Long,64,208.95,182.68,0.594,1.969,1.15,0.23,PROFITABLE,39,175.09,16.66,0.538,2.224,1.39,0.43,PROFITABLE
146,FR Dislocation + ATR SL/TP,96,-24.5,-270.0,0.344,0.858,-0.55,0.35,REJECT,47,-82.13,-270.0,0.255,0.551,-1.46,0.52,REJECT
147,FR 5-Period Exhaustion Short,44,257.02,76.78,0.659,2.39,1.58,0.16,PROFITABLE,20,267.65,579.31,0.7,1.466,0.52,0.22,PROFITABLE
148,FR Trend-Aligned Carry Bias,1218,1.53,-115.56,0.443,1.004,0.03,4.46,PROFITABLE,532,-138.54,-201.92,0.368,0.609,-2.77,5.91,REJECT
149,FR Bullish Divergence at Lows,2275,21.16,28.58,0.523,1.087,0.39,8.33,PROFITABLE,1226,73.76,57.91,0.56,1.5,1.44,13.62,PROFITABLE
150,FR Extreme + 4h SuperTrend,1156,7.1,-104.07,0.42,1.022,0.2,4.23,PROFITABLE,581,-100.98,-144.75,0.368,0.65,-2.37,6.46,REJECT
151,OI Surge + Price Breakout Follow,2709,27.35,-114.45,0.434,1.079,0.36,9.92,PROFITABLE,573,-111.16,-226.13,0.353,0.687,-1.76,6.37,REJECT
152,OI Absorption Coiled Spring Break,14,59.79,-15.32,0.5,1.22,0.27,0.05,PROFITABLE,5,-56.96,-66.8,0.4,0.585,-0.48,0.06,REJECT
153,OI Collapse Cascade Continuation,587,-493.86,-212.31,0.348,0.313,-1.09,2.15,REJECT,111,-177.24,-189.34,0.288,0.457,-1.38,1.23,REJECT
154,OI Flush Climax Snapback Long,53,1416.12,1502.25,0.887,24.389,1.02,0.19,PROFITABLE,11,157.86,20.99,0.545,3.906,1.28,0.12,PROFITABLE
155,OI 7d Expansion + Trend Consensus,5716,-33.7,-132.04,0.416,0.901,-0.72,20.94,REJECT,1213,-79.56,-143.2,0.399,0.744,-1.62,13.48,REJECT
156,OI Bearish Divergence at Highs,66,184.56,165.59,0.636,1.892,1.44,0.24,PROFITABLE,17,13.93,77.65,0.588,1.116,0.14,0.19,PROFITABLE
157,OI Bullish Accumulation at Lows,81,-162.03,-15.55,0.494,0.709,-0.97,0.3,REJECT,31,-134.6,-181.22,0.387,0.59,-1.25,0.34,REJECT
158,OI Build + Negative FR Squeeze,809,8.34,-152.77,0.405,1.023,0.18,2.96,PROFITABLE,338,-118.71,-186.04,0.349,0.615,-2.6,3.76,REJECT
159,OI Build + Positive FR Long Squeeze,75,48.68,11.43,0.507,1.118,0.31,0.27,PROFITABLE,14,768.21,406.31,0.714,6.103,1.51,0.16,PROFITABLE
160,Post-Flush Stabilization Reclaim,1279,-15.56,-87.47,0.431,0.942,-0.34,4.68,REJECT,283,-74.2,-114.31,0.41,0.723,-0.85,3.14,REJECT
161,Top-Trader + OI Joint Expansion,5279,-42.19,-112.73,0.423,0.865,-0.76,19.34,REJECT,1097,-97.12,-156.7,0.376,0.666,-1.86,12.19,REJECT
162,OI Velocity Spike Follow,15516,-11.98,-28.68,0.474,0.948,-0.47,56.84,REJECT,5911,-36.04,-40.34,0.457,0.808,-1.21,65.68,REJECT
163,OI Breakout + Tight SL/TP,19431,-7.29,-270.0,0.372,0.954,-0.68,71.18,REJECT,7163,-11.41,-270.0,0.379,0.927,-0.49,79.59,REJECT
164,OI 7d ATH Rejection Short,786,-18.11,-27.52,0.452,0.912,-0.5,2.88,REJECT,625,21.55,-20.0,0.362,1.216,0.78,6.94,PROFITABLE
165,Fast 1h OI Flush Snapback,2,2172.46,2172.46,1.0,999.0,2.34,0.01,PROFITABLE,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
166,Coiled Spring Low-Vol OI Break,838,-126.67,-160.71,0.405,0.656,-1.78,3.07,REJECT,131,-89.81,-201.0,0.366,0.69,-1.03,1.46,REJECT
167,OI/Turnover Ratio Spike,13334,-19.32,-27.73,0.474,0.911,-0.87,48.84,REJECT,5035,18.07,7.76,0.512,1.115,0.62,55.94,PROFITABLE
168,Persistent 20h OI Inflow Trend,4692,16.09,-62.33,0.453,1.064,0.28,17.19,PROFITABLE,1117,-17.24,-59.49,0.449,0.923,-0.27,12.41,REJECT
169,Post-Flush Bottom + Dynamic SL/TP,519,92.41,-320.0,0.461,1.54,0.88,1.9,PROFITABLE,113,-20.8,-275.32,0.381,0.88,-0.38,1.26,REJECT
170,OI Mom + 4h SuperTrend Cross,6373,-64.08,-65.86,0.45,0.785,-2.17,23.34,REJECT,1502,-52.8,-70.42,0.436,0.771,-1.46,16.69,REJECT
171,MTF Fair Value Gap (FVG) Retest,3447,6.23,-21.88,0.478,1.031,0.18,12.63,PROFITABLE,932,-42.5,-63.01,0.418,0.788,-0.93,10.36,REJECT
172,Break of Structure (BOS) + 4h,20690,-7.41,-36.35,0.471,0.97,-0.27,75.79,REJECT,6690,-8.66,-8.97,0.49,0.954,-0.23,74.33,REJECT
173,Liquidity Sweep Judas Swing,9975,-38.46,-20.6,0.477,0.81,-1.47,36.54,REJECT,2703,-6.85,8.74,0.515,0.957,-0.22,30.03,REJECT
174,PDH/PDL Sweep Reversal,31209,-44.93,-23.76,0.468,0.752,-2.94,114.32,REJECT,8238,-28.32,-20.0,0.471,0.806,-1.46,91.53,REJECT
175,EQH Liquidity Grab Breakout,729,-33.92,-39.84,0.45,0.848,-0.67,2.67,REJECT,150,-100.98,-96.67,0.32,0.494,-2.61,1.67,REJECT
176,London Session Sweep Reclaim,4670,-77.48,-48.11,0.43,0.594,-2.13,17.11,REJECT,1187,-4.75,7.32,0.513,0.965,-0.11,13.19,REJECT
177,Inside Bar Breakout + 4h Trend,23763,-15.43,-25.75,0.472,0.926,-0.81,87.04,REJECT,8225,-18.73,-11.14,0.484,0.884,-0.86,91.39,REJECT
178,Engulfing Bar + 4h Trend,22357,-31.74,-42.58,0.456,0.855,-1.84,81.89,REJECT,6468,-14.57,-20.0,0.481,0.913,-0.59,71.87,REJECT
179,Pin Bar Rejection at 50 EMA,4456,-59.5,-82.88,0.423,0.74,-1.76,16.32,REJECT,1315,-85.31,-92.94,0.377,0.559,-1.96,14.61,REJECT
180,Swing Failure Pattern (SFP) 48h,3935,-30.77,-3.68,0.498,0.87,-0.78,14.41,REJECT,1077,-2.33,13.11,0.514,0.986,-0.07,11.97,REJECT
181,NR4 Volatility Expansion Break,33274,-9.26,-25.78,0.474,0.954,-0.52,121.88,REJECT,10693,-7.63,-3.64,0.495,0.953,-0.32,118.81,REJECT
182,Wide Range Bar Follow Through,1175,-74.06,-105.19,0.414,0.778,-0.8,4.3,REJECT,1071,-135.98,-130.27,0.398,0.504,-1.28,11.9,REJECT
183,Tight Box (<3%) Breakout,1472,-0.66,-20.0,0.47,0.995,-0.02,5.39,REJECT,791,26.44,26.08,0.544,1.267,0.67,8.79,PROFITABLE
184,3-Bar Higher Lows 4h Trend,11295,-51.92,-55.23,0.446,0.784,-1.89,41.37,REJECT,3475,-87.39,-110.64,0.372,0.615,-1.93,38.61,REJECT
185,Price Action Channel (PAC) Break,27562,-47.02,-61.5,0.446,0.813,-2.37,100.96,REJECT,9054,-32.07,-33.58,0.463,0.835,-1.08,100.6,REJECT
186,Extreme Wick Exhaustion Fade,4408,-10.29,-10.51,0.486,0.94,-0.37,16.15,REJECT,2263,60.56,37.54,0.546,1.5,1.11,25.14,PROFITABLE
187,Triangle Compression Breakout,1983,-22.89,-66.98,0.447,0.905,-0.58,7.26,REJECT,991,67.59,57.87,0.589,1.5,1.57,11.01,PASS_VALID
188,FVG + Donchian Confluence,812,-39.95,-95.16,0.417,0.841,-0.66,2.97,REJECT,216,-73.26,-176.67,0.366,0.72,-0.82,2.4,REJECT
189,SFP Reversal + Dynamic SL/TP,2164,-9.13,-270.0,0.385,0.942,-0.42,7.93,REJECT,964,55.02,-20.0,0.494,1.442,1.19,10.71,PROFITABLE
190,24h Break + 4h ST + SL/TP,26000,-3.85,-320.0,0.371,0.98,-0.25,95.24,REJECT,7413,14.18,-320.0,0.404,1.08,0.35,82.37,PROFITABLE
191,XS 24h Momentum Top/Bottom 10%,8660,-10.12,-30.35,0.472,0.966,-0.92,31.72,REJECT,2880,-45.15,-20.0,0.445,0.808,-2.95,32.0,REJECT
192,XS 7d Mom Leader Dip Buyer,1069,-25.11,-37.72,0.473,0.906,-0.65,3.92,REJECT,387,-70.01,-109.55,0.382,0.693,-1.39,4.3,REJECT
193,XS Volume Share Surge Leaders,1330,-44.14,-112.7,0.426,0.866,-1.22,4.87,REJECT,450,-78.19,-117.23,0.398,0.74,-1.48,5.0,REJECT
194,XS Vol-Adjusted Momentum Spread,8651,-9.1,-23.39,0.475,0.966,-1.01,31.69,REJECT,2880,-44.27,-20.0,0.445,0.799,-3.13,32.0,REJECT
195,XS Top-Trader LS Factor Spread,8658,-18.55,0.88,0.501,0.928,-2.07,31.71,REJECT,2700,-16.88,-20.0,0.479,0.912,-2.21,30.0,REJECT
196,XS Funding Rate Carry Spread,8656,-11.68,-32.8,0.468,0.952,-1.54,31.71,REJECT,2700,-11.11,-20.0,0.479,0.945,-1.17,30.0,REJECT
197,XS Low-Volatility Anomaly,8533,-13.5,11.85,0.513,0.951,-0.75,31.26,REJECT,2880,10.34,-20.0,0.423,1.062,0.66,32.0,PROFITABLE
198,XS OI 24h Growth Spread,8689,-23.31,-22.41,0.48,0.92,-2.6,31.83,REJECT,2880,-34.64,-22.34,0.465,0.848,-3.1,32.0,REJECT
199,XS 24h Mean Reversion Spread,8660,-29.76,-9.0,0.494,0.903,-2.71,31.72,REJECT,2880,5.21,-20.0,0.469,1.025,0.34,32.0,PROFITABLE
200,XS Price Acceleration Factor,8660,-12.11,-20.0,0.482,0.96,-1.05,31.72,REJECT,2880,-32.62,-20.0,0.443,0.855,-2.44,32.0,REJECT
201,XS Multi-Factor Composite Spread,8652,-22.18,-37.86,0.471,0.926,-2.09,31.69,REJECT,2700,-48.96,-33.81,0.465,0.798,-3.58,30.0,REJECT
202,XS Long-Only Mom in 1d Bull,510,3.28,-94.74,0.425,1.01,0.05,1.87,PROFITABLE,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
203,XS Short-Only Laggards in 1d Bear,355,22.96,-14.17,0.493,1.082,0.37,1.3,PROFITABLE,450,-23.98,24.16,0.527,0.905,-0.51,5.0,REJECT
