pair,beta_is,corr_is,idio_is,rbstd_is,spread_vol_is,n_is,beta_oos,corr_oos,idio_oos,rbstd_oos,spread_vol_oos,n_oos,liq
GUNUSDT,0.912697422255638,0.4296895527693951,0.8153668882408395,0.15983681064746072,0.014030324069305758,5146,0.7295155930529054,0.2879575893034158,0.9170804267625603,0.47695797032862464,0.015719448660463615,6936,6296323.489185
GUSDT,0.8162145828992947,0.6898242567334613,0.524142494822129,0.11081388590909481,0.006682270811159482,7295,0.6581850023859357,0.37274255450336513,0.861062988062306,0.2593965586670506,0.010616867150514372,6936,1985062.99499
HAEDALUSDT,0.8969760659261755,0.36709555164263225,0.8652408559641928,0.1159341090098369,0.015874695250740627,4412,0.8281128951243502,0.5034344757066429,0.7465537286699747,0.19165075457087538,0.009209087715241059,6936,2480386.03216
HBARUSDC,0.9354917849850898,0.6882569751303064,0.5263023361844817,0.08484438444454889,0.007211467773679098,5725,0.8131768204092175,0.7269688152324749,0.4715163416794911,0.1792658840430979,0.004976595969050338,6936,2477337.70319
HBARUSDT,1.0037642967843128,0.7096937639102852,0.4963347614668489,0.11834326824966766,0.007772873496248218,7295,0.8138499087606059,0.7269871438278761,0.4714896927089866,0.1789562869227648,0.004980456086547883,6936,64771213.58046
HEIUSDT,0.7368803703730707,0.3490923260755276,0.8781345478751805,0.1448857127582629,0.014974859972230694,6254,0.5862619132751112,0.17778009035583867,0.9683942394730699,0.4467669674039619,0.021026890261453168,6936,3535708.89776
HFTUSDT,1.0854852553682266,0.6114353737753733,0.6261467836961707,0.12398475476224866,0.010958344348723297,7295,0.8811497966124271,0.3644676871030378,0.867163305057753,0.2272463792645313,0.014587530467259734,6936,3070273.47541
HIGHUSDT,1.0241219559560726,0.6799452228616893,0.537674493907568,0.11981524645908287,0.008615311128484272,7295,0.6782220471237269,0.2752580278091286,0.9242330181267067,0.5474472994434345,0.015348231326672622,6936,2786614.59928
HIPPOUSDT,0.9688839848672479,0.31144693191123535,0.9030008086030744,0.3099839102369864,0.023060317807689443,7295,0.558800413563165,0.14614040063782785,0.9786429833013325,0.9608528347233797,0.024507709652137864,6936,3802088.90694
HIVEUSDT,0.808295316198947,0.607117421815475,0.6314084361281296,0.16412725767478573,0.008252509919808032,7295,0.7397454765556227,0.5299208621487245,0.7191838798595521,0.13214590244999821,0.007670517770241629,6936,1941810.20476
